"Seats in Municipal Councils by region, party and election year"

"0128 Salem","The Left Party",..,..,..,2,2,2,2,2,2,2,1,1,1,1,2
"0128 Salem","The Sweden Democrats",..,..,..,..,..,0,0,0,0,0,0,1,2,3,3
"0128 Salem","Other Parties",..,..,..,0,0,0,0,0,0,0,0,2,3,3,3
"0136 Haninge","The Moderate Party",8,9,11,14,14,12,17,12,12,10,17,21,17,16,15
"0136 Haninge","The Centre Party",16,12,8,6,3,4,4,3,1,0,2,2,2,4,4
"0136 Haninge","The Liberal Party",7,7,7,4,8,9,8,5,4,9,6,4,4,4,3
"0136 Haninge","The Christian Democratic Party",0,0,0,0,0,0,3,0,4,4,4,2,2,3,3
"0136 Haninge","The Green Party",..,..,..,3,2,4,2,3,2,2,2,4,5,3,0
"0136 Haninge","The Social Democratic Party",25,29,28,29,29,27,21,26,29,28,22,20,20,16,19
"0136 Haninge","The Left Party",5,4,5,5,4,4,3,4,5,5,4,2,3,4,5
"0136 Haninge","The Sweden Democrats",..,..,..,..,..,0,0,0,2,0,2,4,6,11,12
"0136 Haninge","Other Parties",0,0,2,0,1,1,3,8,2,3,2,2,2,0,0
"0138 Tyresö","The Moderate Party",7,8,11,14,12,13,17,17,18,16,22,21,18,14,17
"0138 Tyresö","The Centre Party",10,8,5,4,2,3,2,1,1,1,2,1,2,3,3
"0138 Tyresö","The Liberal Party",7,7,5,2,5,7,5,4,4,7,4,5,4,5,4
"0138 Tyresö","The Christian Democratic Party",0,0,0,0,0,0,1,0,2,2,2,2,2,2,2
"0138 Tyresö","The Green Party",..,..,..,2,2,3,2,2,3,2,3,4,5,3,3
"0138 Tyresö","The Social Democratic Party",18,19,20,20,18,20,18,22,18,19,16,14,14,15,20
"0138 Tyresö","The Left Party",3,3,4,3,3,3,2,3,4,4,2,2,2,3,3
"0138 Tyresö","The Sweden Democrats",..,..,..,..,..,0,0,0,0,0,0,2,4,6,9
"0138 Tyresö","Other Parties",0,0,0,0,3,2,4,2,1,0,0,0,0,0,0
"0139 Upplands-Bro","The Moderate Party",5,7,9,10,10,10,13,11,11,8,12,13,10,10,11
"0139 Upplands-Bro","The Centre Party",8,8,6,4,2,3,2,2,1,1,2,1,2,2,2
"0139 Upplands-Bro","The Liberal Party",4,6,4,2,5,5,4,3,2,5,3,4,4,4,2
"0139 Upplands-Bro","The Christian Democratic Party",0,0,0,1,1,1,2,2,4,4,3,3,2,3,2
"0139 Upplands-Bro","The Green Party",..,..,..,1,2,3,1,0,1,1,2,3,3,1,1
"0139 Upplands-Bro","The Social Democratic Party",15,18,19,21,19,17,15,20,17,18,16,13,14,11,12
"0139 Upplands-Bro","The Left Party",3,2,3,2,2,2,2,3,5,4,2,2,2,3,4
"0139 Upplands-Bro","The Sweden Democrats",..,..,..,..,..,0,0,0,0,0,1,2,4,7,7
"0139 Upplands-Bro","Other Parties",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"0140 Nykvarn","The Moderate Party",..,..,..,..,..,..,..,..,6,5,6,7,7,6,7
"0140 Nykvarn","The Centre Party",..,..,..,..,..,..,..,..,1,1,2,1,2,2,2
"0140 Nykvarn","The Liberal Party",..,..,..,..,..,..,..,..,4,2,2,2,1,1,1
"0140 Nykvarn","The Christian Democratic Party",..,..,..,..,..,..,..,..,1,1,0,0,0,0,1
"0140 Nykvarn","The Green Party",..,..,..,..,..,..,..,..,0,0,0,2,2,1,1
"0140 Nykvarn","The Social Democratic Party",..,..,..,..,..,..,..,..,10,9,7,7,7,6,8
"0140 Nykvarn","The Left Party",..,..,..,..,..,..,..,..,2,1,1,1,0,1,0
"0140 Nykvarn","The Sweden Democrats",..,..,..,..,..,..,..,..,0,0,1,2,3,5,6
"0140 Nykvarn","Other Parties",..,..,..,..,..,..,..,..,7,12,12,9,9,9,5
"0160 Täby","The Moderate Party",14,16,20,24,27,27,31,28,34,26,34,26,24,24,25
"0160 Täby","The Centre Party",11,9,7,5,2,3,2,3,0,0,2,3,4,5,5
"0160 Täby","The Liberal Party",8,8,6,3,11,11,9,11,9,17,11,18,16,12,9
"0160 Täby","The Christian Democratic Party",0,0,0,0,0,0,2,2,4,4,4,2,2,4,4
"0160 Täby","The Green Party",..,..,..,2,2,2,2,2,2,2,2,4,5,3,2
"0160 Täby","The Social Democratic Party",16,15,13,13,15,14,11,13,10,11,8,8,8,8,11
"0160 Täby","The Left Party",2,3,3,2,2,2,0,0,1,1,0,0,0,0,0
"0160 Täby","The Sweden Democrats",..,..,..,..,..,0,0,0,0,0,0,0,2,5,5
"0160 Täby","Other Parties",0,0,2,2,2,2,4,2,1,0,0,0,0,0,0
"0162 Danderyd","The Moderate Party",22,21,21,24,22,21,19,21,24,20,23,19,19,14,19
"0162 Danderyd","The Centre Party",7,5,6,7,5,5,8,10,7,6,7,10,8,11,12
"0162 Danderyd","The Liberal Party",5,6,6,3,9,9,7,6,5,9,6,8,8,7,6
"0162 Danderyd","The Christian Democratic Party",0,0,0,0,0,0,2,1,3,4,4,3,3,5,4
"0162 Danderyd","The Green Party",..,..,..,1,1,2,1,1,1,1,1,2,3,2,2
"0162 Danderyd","The Social Democratic Party",9,8,8,8,7,7,6,6,4,5,4,3,3,3,5
"0162 Danderyd","The Left Party",2,2,2,1,1,1,0,0,1,0,0,0,0,0,0
"0162 Danderyd","The Sweden Democrats",..,..,..,..,..,0,0,0,0,0,0,0,1,3,3
"0162 Danderyd","Other Parties",0,3,2,1,0,0,2,0,0,0,0,0,0,0,0
"0163 Sollentuna","The Moderate Party",10,11,16,19,18,19,20,20,24,19,26,26,22,19,19
"0163 Sollentuna","The Centre Party",11,8,6,6,2,3,2,3,2,2,2,2,3,4,5
"0163 Sollentuna","The Liberal Party",6,6,6,2,7,8,7,6,5,11,7,7,6,6,5
"0163 Sollentuna","The Christian Democratic Party",0,0,0,0,0,1,4,2,5,4,4,2,4,5,3
"0163 Sollentuna","The Green Party",..,..,..,0,2,3,2,3,2,2,2,4,5,3,3
"0163 Sollentuna","The Social Democratic Party",17,16,15,18,16,19,16,19,15,16,13,11,12,13,17
"0163 Sollentuna","The Left Party",2,2,2,2,2,2,2,2,4,3,2,2,2,4,4
"0163 Sollentuna","The Sweden Democrats",..,..,..,..,..,0,0,0,0,0,0,1,3,5,5
"0163 Sollentuna","Other Parties",5,8,6,4,4,6,8,6,4,4,5,6,4,2,0
"0180 Stockholm","The Moderate Party",23,27,31,34,33,28,32,29,35,27,41,38,28,22,20
"0180 Stockholm","The Centre Party",15,12,6,6,0,5,1,5,0,0,1,3,3,8,7
"0180 Stockholm","The Liberal Party",12,13,12,6,14,13,12,9,9,17,10,10,9,10,8
"0180 Stockholm","The Christian Democratic Party",0,0,0,0,0,0,3,0,6,5,3,1,2,5,4
"0180 Stockholm","The Green Party",..,..,..,0,0,0,2,8,6,6,10,16,16,9,6
"0180 Stockholm","The Social Democratic Party",42,40,39,41,40,36,33,37,29,35,27,25,24,23,31
"0180 Stockholm","The Left Party",9,9,10,11,10,11,9,11,13,11,9,8,10,13,16
"0180 Stockholm","The Sweden Democrats",..,..,..,..,..,0,0,0,0,0,0,0,6,8,9
"0180 Stockholm","Other Parties",0,0,3,3,4,8,9,2,3,0,0,0,3,3,0
